CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
Dawson County,22288,22202,22365,22589,22896,23312
Decatur County,27808,27652,27455,27369,27239,27174
DeKalb County,692485,698096,708640,715824,724222,734871
Dodge County,21770,21442,21336,21249,20992,20882
Dooly County,14845,14557,14343,14325,14203,14035
Dougherty County,94564,94889,94587,93225,92515,91332
Douglas County,132644,133232,133810,136360,138466,140733
Early County,10966,10744,10608,10509,10458,10575
Echols County,4031,4117,3993,4038,4054,4040
Effingham County,52452,52699,53383,54513,55447,57106
Elbert County,20096,19818,19584,19507,19413,19364
Emanuel County,22608,22581,22847,22808,22710,22708
Evans County,11009,10968,10661,10791,10864,10787
Fannin County,23687,23508,23468,23719,23713,24303
Fayette County,106993,107207,107411,108295,109648,110714
Floyd County,96415,96208,96034,96039,96061,96504
Forsyth County,176760,182341,187628,194891,203882,212438
Franklin County,22074,21980,21944,22064,22250,22311
Fulton County,926038,950233,977816,984440,996463,1010562
Gilmer County,28315,28280,28213,28607,28866,29400
Glascock County,3069,3115,3129,3079,3046,3065
Glynn County,79790,80215,80985,81592,82343,83579
Gordon County,55207,55490,55703,55763,55917,56574
Grady County,25047,25160,25346,25194,25308,25205
Greene County,16000,16069,16141,16262,16474,16710
Gwinnett County,808274,824790,839758,858071,877726,895823
Habersham County,43080,43107,43479,43300,43753,43996
Hall County,180003,182920,185012,187588,190525,193535
Hancock County,9420,9379,9042,8913,8519,8551
Haralson County,28782,28511,28381,28463,28615,28854
Harris County,32157,32359,32607,32658,32873,33381
Hart County,25209,25462,25574,25510,25412,25534
Heard County,11858,11719,11655,11566,11606,11539
Henry County,205142,207007,208391,210687,213738,217739
Houston County,140746,144227,146299,148064,149228,150033
Irwin County,9600,9694,9604,9405,9091,9245
Jackson County,60749,60522,60456,60916,61848,63360
Jasper County,13883,13772,13590,13530,13440,13635
Jeff Davis County,15092,15088,15113,14966,14862,14920
Jefferson County,16905,16799,16403,16326,16237,16106
Jenkins County,8326,8126,9135,9262,9129,8957
Johnson County,9981,9929,9892,9787,9707,9656
Jones County,28634,28890,28774,28741,28791,28494
Lamar County,18270,18180,18040,17939,18212,18201
Lanier County,10099,10470,10448,10396,10390,10312
Laurens County,48403,48017,47986,47921,47777,47731
Lee County,28424,28604,28719,29046,29159,29202
Liberty County,62684,65119,65389,64020,65141,62467
Lincoln County,7969,7876,7749,7697,7603,7673
Long County,14685,15246,16161,16628,17176,17731
Lowndes County,109689,111928,114759,112898,113563,112865
Lumpkin County,30301,30476,30707,30872,31141,31408
McDuffie County,21830,21632,21655,21549,21535,21540
McIntosh County,14294,14225,13834,14000,14007,13969
Macon County,14655,14482,14298,13994,13818,13632
Madison County,28146,28109,28046,28176,28388,28441
Marion County,8744,8742,8734,8685,8772,8761
Meriwether County,21836,21599,21312,21180,21203,21190
